,Rate,Gdp,Import,Export
2022-11-11,1.359395,2175725.263013716,724416194335.2538,727412929709.8229
2022-11-12,1.3763,2175678.493150702,724395108227.6128,727360797434.6538
2022-11-13,1.303366,2175631.7232876886,724374022119.9718,727308665159.4847
2022-11-14,1.370398,2175584.953424675,724352936012.3308,727256532884.3157
2022-11-15,1.375134,2175538.1835616613,724331849904.6898,727204400609.1466
2022-11-16,1.37416,2175491.4136986476,724310763797.0488,727152268333.9775
2022-11-17,1.385519,2175444.643835634,724289677689.4078,727100136058.8085
2022-11-18,1.380918,2175397.8739726203,724268591581.7668,727048003783.6394
2022-11-19,1.38728,2175351.1041096067,724247505474.1259,726995871508.4703
2022-11-20,1.38728,2175304.334246593,724226419366.4849,726943739233.3013
2022-11-21,1.381779,2175257.5643835794,724205333258.8439,726891606958.1322
2022-11-22,1.377347,2175210.794520566,724184247151.2029,726839474682.9631
2022-11-23,1.378512,2175164.024657552,724163161043.5619,726787342407.7941
2022-11-24,1.389649,2175117.2547945385,724142074935.9209,726735210132.625
2022-11-25,1.388184,2175070.484931525,724120988828.2799,726683077857.4559
2022-11-26,1.395589,2175023.715068511,724099902720.6389,726630945582.2869
2022-11-27,1.395693,2174976.9452054976,724078816612.9979,726578813307.1178
2022-11-28,1.391375,2174930.175342484,724057730505.3569,726526681031.9487
2022-11-29,1.395369,2174883.4054794703,724036644397.716,726474548756.7797
2022-11-30,1.403847,2174836.6356164566,724015558290.075,726422416481.6106
2022-12-01,1.399484,2174789.865753443,723994472182.434,726370284206.4415
2022-12-02,1.414222,2174743.0958904293,723973386074.793,726318151931.2725
2022-12-03,1.421895,2174696.3260274157,723952299967.152,726266019656.1034
2022-12-04,1.41999,2174649.556164402,723931213859.511,726213887380.9343
2022-12-05,1.417909,2174602.7863013884,723910127751.87,726161755105.7653
2022-12-06,1.427233,2174556.0164383748,723889041644.229,726109622830.5962
2022-12-07,1.428301,2174509.246575361,723867955536.588,726057490555.4271
2022-12-08,1.436084,2174462.4767123475,723846869428.947,726005358280.258
2022-12-09,1.435744,2174415.706849334,723825783321.306,725953226005.089
2022-12-10,1.447784,2174368.93698632,723804697213.665,725901093729.9199
2022-12-11,1.447714,2174322.1671233065,723783611106.024,725848961454.7509
2022-12-12,1.436703,2174275.397260293,723762524998.383,725796829179.5818
2022-12-13,1.436884,2174228.6273972793,723741438890.7421,725744696904.4127
2022-12-14,1.441631,2174181.8575342656,723720352783.1011,725692564629.2437
