,Rate,Gdp,Import,Export
2022-06-21,57.598945,2185072.7123287595,361465024544.3451,558583649165.4069
2022-06-22,56.741634,2184426.78082191,361560295518.51117,558102393963.5233
2022-06-23,58.123467,2183780.849315061,361655566492.67725,557621138761.6398
2022-06-24,57.326762,2183134.9178082114,361750837466.8433,557139883559.7562
2022-06-25,57.218137,2182488.986301362,361846108441.0094,556658628357.8727
2022-06-26,57.218137,2181843.0547945127,361941379415.1755,556177373155.9891
2022-06-27,56.455496,2181197.1232876633,362036650389.34155,555696117954.1056
2022-06-28,56.230579,2180551.191780814,362131921363.5076,555214862752.222
2022-06-29,56.583621,2179905.2602739646,362227192337.6737,554733607550.3385
2022-06-30,54.813328,2179259.3287671153,362322463311.8398,554252352348.455
2022-07-01,57.486026,2178613.397260266,362417734286.00586,553771097146.5714
2022-07-02,59.442757,2177967.4657534165,362513005260.17194,553289841944.6879
2022-07-03,59.442757,2177321.534246567,362608276234.338,552808586742.8043
2022-07-04,56.393594,2176675.602739718,362703547208.5041,552327331540.9208
2022-07-05,59.457667,2176029.6712328685,362798818182.67017,551846076339.0372
2022-07-06,65.219609,2175383.739726019,362894089156.83624,551364821137.1537
2022-07-07,64.71806,2174737.8082191697,362989360131.0023,550883565935.2701
2022-07-08,64.107471,2174091.8767123204,363084631105.1684,550402310733.3866
2022-07-09,66.208175,2173445.945205471,363179902079.3345,549921055531.503
2022-07-10,66.208175,2172800.0136986217,363275173053.50055,549439800329.6195
2022-07-11,66.208175,2172154.0821917723,363370444027.6666,548958545127.73596
2022-07-12,63.199328,2171508.150684923,363465715001.8327,548477289925.8524
2022-07-13,62.826899,2170862.2191780736,363560985975.9988,547996034723.9689
2022-07-14,58.624168,2170216.287671224,363656256950.16486,547514779522.0853
2022-07-15,58.34883,2169570.356164375,363751527924.33093,547033524320.2018
2022-07-16,57.495931,2168924.4246575255,363846798898.497,546552269118.31824
2022-07-17,57.495931,2168278.493150676,363942069872.6631,546071013916.4347
2022-07-18,112.312826,2167632.561643827,364037340846.82916,545589758714.55115
2022-07-19,58.572831,2166986.6301369774,364132611820.99524,545108503512.6676
2022-07-20,57.803652,2166340.698630128,364227882795.1613,544627248310.78406
2022-07-21,56.01595,2165694.7671232787,364323153769.3274,544145993108.9005
2022-07-22,59.239426,2165048.8356164293,364418424743.49347,543664737907.01697
2022-07-23,59.369406,2164402.90410958,364513695717.65955,543183482705.1334
2022-07-24,59.369406,2163756.9726027306,364608966691.8256,542702227503.2499
2022-07-25,59.314227,2163111.0410958813,364704237665.9917,542220972301.36633
2022-07-26,59.788318,2162465.109589032,364799508640.1578,541739717099.4828
2022-07-27,60.967289,2161819.1780821825,364894779614.32385,541258461897.59924
2022-07-28,60.60558,2161173.246575333,364990050588.4899,540777206695.7157
2022-07-29,63.70388,2160527.315068484,365085321562.656,540295951493.83215
2022-07-30,63.653915,2159881.3835616345,365180592536.8221,539814696291.9486
2022-07-31,63.653915,2159235.452054785,365275863510.98816,539333441090.06506
2022-08-01,63.652262,2158589.5205479357,365371134485.15424,538852185888.1815
2022-08-02,66.317777,2157943.5890410864,365466405459.3203,538370930686.298
2022-08-03,61.798657,2157297.657534237,365561676433.4864,537889675484.4144
2022-08-04,63.707888,2156651.7260273877,365656947407.65247,537408420282.5309
2022-08-05,63.022295,2156005.7945205383,365752218381.81854,536927165080.64734
2022-08-06,61.615949,2155359.863013689,365847489355.9846,536445909878.7638
2022-08-07,61.615949,2154713.9315068396,365942760330.1507,535964654676.88025
2022-08-08,61.53138,2154067.99999999,366038031304.3168,535483399474.9967
2022-08-09,63.095524,2153422.068493141,366133302278.48285,535002144273.11316
2022-08-10,61.739757,2152776.1369862915,366228573252.6489,534520889071.2296
2022-08-11,63.342775,2152130.205479442,366323844226.815,534039633869.34607
2022-08-12,62.516446,2151484.273972593,366419115200.9811,533558378667.4625
2022-08-13,63.890769,2150838.3424657434,366514386175.14716,533077123465.579
2022-08-14,63.890769,2150192.410958894,366609657149.31323,532595868263.69543
2022-08-15,63.87562,2149546.4794520447,366704928123.4793,532114613061.8119
2022-08-16,63.000186,2148900.5479451953,366800199097.6454,531633357859.92834
2022-08-17,62.537162,2148254.616438346,366895470071.81146,531152102658.0448
2022-08-18,61.562958,2147608.6849314966,366990741045.97754,530670847456.16125
2022-08-19,60.525609,2146962.7534246473,367086012020.1436,530189592254.2777
2022-08-20,59.752559,2146316.821917798,367181282994.3097,529708337052.39417
2022-08-21,59.752559,2145670.8904109485,367276553968.47577,529227081850.5106
2022-08-22,59.710839,2145024.958904099,367371824942.64185,528745826648.6271
2022-08-23,59.72454,2144379.02739725,367467095916.8079,528264571446.7435
2022-08-24,60.02082,2143733.0958904005,367562366890.974,527783316244.86
2022-08-25,59.607398,2143087.164383551,367657637865.1401,527302061042.97644
2022-08-26,60.191449,2142441.2328767017,367752908839.30615,526820805841.0929
2022-08-27,60.096332,2141795.3013698524,367848179813.4722,526339550639.20935
2022-08-28,60.096332,2141149.369863003,367943450787.6383,525858295437.3258
2022-08-29,59.940698,2140503.4383561537,368038721761.8044,525377040235.44226
2022-08-30,61.820684,2139857.5068493043,368133992735.97046,524895785033.5587
2022-08-31,60.148567,2139211.575342455,368229263710.13654,524414529831.6752
2022-09-01,60.368012,2138565.6438356056,368324534684.3026,523933274629.7916
2022-09-02,59.944794,2137919.712328756,368419805658.4687,523452019427.9081
2022-09-03,60.019929,2137273.780821907,368515076632.63477,522970764226.02454
2022-09-04,60.019929,2136627.8493150575,368610347606.80084,522489509024.141
2022-09-05,59.749353,2135981.917808208,368705618580.9669,522008253822.25745
2022-09-06,60.711995,2135335.986301359,368800889555.133,521526998620.3739
2022-09-07,60.657175,2134690.0547945094,368896160529.2991,521045743418.49036
2022-09-08,64.270997,2134044.12328766,368991431503.46515,520564488216.6068
2022-09-09,61.631503,2133398.1917808107,369086702477.6312,520083233014.72327
2022-09-10,61.707607,2132752.2602739614,369181973451.7973,519601977812.8397
2022-09-11,62.449778,2132106.328767112,369277244425.9634,519120722610.9562
2022-09-12,62.673483,2131460.3972602626,369372515400.12946,518639467409.07263
2022-09-13,60.822401,2130814.4657534133,369467786374.29553,518158212207.1891
2022-09-14,63.579824,2130168.534246564,369563057348.4616,517676957005.30554
2022-09-15,59.567168,2129522.6027397146,369658328322.6277,517195701803.422
2022-09-16,59.556204,2128876.671232865,369753599296.79376,516714446601.53845
2022-09-17,60.596377,2128230.739726016,369848870270.95984,516233191399.6549
2022-09-18,60.602311,2127584.8082191665,369944141245.1259,515751936197.77136
2022-09-19,60.615319,2126938.876712317,370039412219.292,515270680995.8878
2022-09-20,60.687318,2126292.9452054678,370134683193.45807,514789425794.0043
2022-09-21,64.247361,2125647.0136986184,370229954167.62415,514308170592.1207
2022-09-22,60.549534,2125001.082191769,370325225141.7902,513826915390.2372
2022-09-23,60.502092,2124355.1506849197,370420496115.9563,513345660188.35364
2022-09-24,56.078811,2123709.2191780703,370515767090.1224,512864404986.4701
2022-09-25,56.078811,2123063.287671221,370611038064.28845,512383149784.58655
2022-09-26,55.459533,2122417.3561643716,370706309038.4545,511901894582.703
2022-09-27,56.278541,2121771.4246575222,370801580012.6206,511420639380.81946
2022-09-28,56.512617,2121125.493150673,370896850986.7867,510939384178.9359
2022-09-29,56.772749,2120479.5616438235,370992121960.95276,510458128977.05237
2022-09-30,56.49287,2119833.630136974,371087392935.11884,509976873775.1688
2022-10-01,59.028409,2119187.698630125,371182663909.2849,509495618573.2853
2022-10-02,59.028409,2118541.7671232754,371277934883.451,509014363371.40173
2022-10-03,58.999105,2117895.835616426,371373205857.61707,508533108169.5182
2022-10-04,57.061522,2117249.9041095767,371468476831.78314,508051852967.63464
2022-10-05,58.917476,2116603.9726027274,371563747805.9492,507570597765.7511
2022-10-06,60.700596,2115958.041095878,371659018780.1153,507089342563.86755
2022-10-07,59.239801,2115312.1095890286,371754289754.2814,506608087361.984
2022-10-08,60.729807,2114666.1780821793,371849560728.44745,506126832160.10046
2022-10-09,60.729807,2114020.24657533,371944831702.6135,505645576958.2169
2022-10-10,62.638715,2113374.3150684806,372040102676.7796,505164321756.3334
2022-10-11,60.211857,2112728.383561631,372135373650.9457,504683066554.4498
2022-10-12,62.186324,2112082.452054782,372230644625.11176,504201811352.5663
2022-10-13,61.84644,2111436.5205479325,372325915599.27783,503720556150.68274
2022-10-14,62.396282,2110790.589041083,372421186573.4439,503239300948.7992
2022-10-15,60.917252,2110144.6575342338,372516457547.61,502758045746.91565
2022-10-16,60.917252,2109498.7260273844,372611728521.77606,502276790545.0321
2022-10-17,60.996287,2108852.794520535,372706999495.94214,501795535343.14856
2022-10-18,61.108185,2108206.8630136857,372802270470.1082,501314280141.265
2022-10-19,61.436098,2107560.9315068363,372897541444.2743,500833024939.3815
2022-10-20,60.546477,2106914.999999987,372992812418.44037,500351769737.4979
2022-10-21,60.27211,2106269.0684931376,373088083392.60645,499870514535.6144
2022-10-22,60.796162,2105623.1369862882,373183354366.7725,499389259333.73083
2022-10-23,60.796162,2104977.205479439,373278625340.9386,498908004131.8473
2022-10-24,60.75173,2104331.2739725895,373373896315.1047,498426748929.96375
2022-10-25,60.552663,2103685.34246574,373469167289.27075,497945493728.0802
2022-10-26,62.008482,2103039.410958891,373564438263.4368,497464238526.19666
2022-10-27,61.811177,2102393.4794520414,373659709237.6029,496982983324.3131
2022-10-28,61.095886,2101747.547945192,373754980211.769,496501728122.42957
2022-10-29,61.307372,2101101.6164383427,373850251185.93506,496020472920.546
2022-10-30,61.307372,2100455.6849314934,373945522160.10114,495539217718.6625
2022-10-31,61.247854,2099809.753424644,374040793134.2672,495057962516.77893
2022-11-01,61.345943,2099163.8219177946,374136064108.4333,494576707314.8954
2022-11-02,60.977618,2098517.8904109453,374231335082.59937,494095452113.01184
2022-11-03,60.569085,2097871.958904096,374326606056.76544,493614196911.1283
2022-11-04,60.845143,2097226.0273972466,374421877030.9315,493132941709.24475
2022-11-05,61.898183,2096580.0958903972,374517148005.0976,492651686507.3612
2022-11-06,61.898183,2095934.1643835478,374612418979.2637,492170431305.47766
2022-11-07,61.584276,2095288.2328766985,374707689953.42975,491689176103.5941
2022-11-08,63.339114,2094642.3013698491,374802960927.5958,491207920901.7106
2022-11-09,61.387807,2093996.3698629998,374898231901.7619,490726665699.827
2022-11-10,60.98346,2093350.4383561504,374993502875.928,490245410497.9435
2022-11-11,61.906343,2092704.506849301,375088773850.09406,489764155296.05994
2022-11-12,62.801791,2092058.5753424517,375184044824.26013,489282900094.1764
2022-11-13,62.808306,2091412.6438356023,375279315798.4262,488801644892.29285
2022-11-14,62.575331,2090766.712328753,375374586772.5923,488320389690.4093
2022-11-15,61.931224,2090120.7808219036,375469857746.75836,487839134488.52576
2022-11-16,62.585673,2089474.8493150542,375565128720.92444,487357879286.6422
