,Rate,Gdp,Import,Export
2022-03-13,6.918008,18300528.28767131,3133508248990.668,3678183229628.0435
2022-03-14,6.932269,18300425.643835694,3133416240335.1636,3677603840689.2886
2022-03-15,6.96683,18300323.00000008,3133324231679.659,3677024451750.5337
2022-03-16,6.978659,18300220.356164463,3133232223024.155,3676445062811.779
2022-03-17,7.014394,18300117.712328847,3133140214368.6504,3675865673873.024
2022-03-18,7.045424,18300015.068493232,3133048205713.146,3675286284934.269
2022-03-19,7.037116,18299912.424657617,3132956197057.6416,3674706895995.514
2022-03-20,7.037116,18299809.780822,3132864188402.137,3674127507056.7593
2022-03-21,7.027434,18299707.136986386,3132772179746.633,3673548118118.0044
2022-03-22,6.992466,18299604.49315077,3132680171091.1284,3672968729179.2495
2022-03-23,7.017714,18299501.849315155,3132588162435.624,3672389340240.4946
2022-03-24,7.008491,18299399.20547954,3132496153780.1196,3671809951301.7397
2022-03-25,7.011138,18299296.561643925,3132404145124.615,3671230562362.985
2022-03-26,6.992478,18299193.91780831,3132312136469.111,3670651173424.23
2022-03-27,6.992478,18299091.273972694,3132220127813.6064,3670071784485.475
2022-03-28,7.007351,18298988.63013708,3132128119158.102,3669492395546.72
2022-03-29,7.050651,18298885.986301463,3132036110502.5977,3668913006607.9653
2022-03-30,7.079274,18298783.342465848,3131944101847.0933,3668333617669.2104
2022-03-31,7.025747,18298680.698630232,3131852093191.589,3667754228730.4556
2022-04-01,7.027091,18298578.054794617,3131760084536.0845,3667174839791.7007
2022-04-02,7.030246,18298475.410959,3131668075880.58,3666595450852.946
2022-04-03,7.030261,18298372.767123386,3131576067225.0757,3666016061914.191
2022-04-04,6.98224,18298270.12328777,3131484058569.5713,3665436672975.436
2022-04-05,6.93935,18298167.479452156,3131392049914.067,3664857284036.681
2022-04-06,6.937855,18298064.83561654,3131300041258.5625,3664277895097.9263
2022-04-07,6.936603,18297962.191780925,3131208032603.058,3663698506159.1714
2022-04-08,6.909442,18297859.54794531,3131116023947.5537,3663119117220.4165
2022-04-09,6.922576,18297756.904109694,3131024015292.0493,3662539728281.6616
2022-04-10,6.922576,18297654.26027408,3130932006636.545,3661960339342.9067
2022-04-11,6.928534,18297551.616438463,3130839997981.0405,3661380950404.152
2022-04-12,6.930668,18297448.972602848,3130747989325.536,3660801561465.397
2022-04-13,6.89158,18297346.328767233,3130655980670.0317,3660222172526.642
2022-04-14,6.931981,18297243.684931617,3130563972014.5273,3659642783587.887
2022-04-15,6.893998,18297141.041096002,3130471963359.023,3659063394649.1323
2022-04-16,6.89006,18297038.397260386,3130379954703.5186,3658484005710.3774
2022-04-17,6.89006,18296935.75342477,3130287946048.014,3657904616771.6226
2022-04-18,6.8802,18296833.109589156,3130195937392.51,3657325227832.8677
2022-04-20,6.900713,18296627.821917925,3130011920081.501,3656166449955.358
2022-04-21,6.964667,18296525.17808231,3129919911425.9966,3655587061016.603
2022-04-22,6.989242,18296422.534246694,3129827902770.492,3655007672077.848
2022-04-23,7.021427,18296319.89041108,3129735894114.988,3654428283139.0933
2022-04-24,7.021427,18296217.246575464,3129643885459.4834,3653848894200.3384
2022-04-25,7.024335,18296114.60273985,3129551876803.979,3653269505261.5835
2022-04-26,7.027723,18296011.958904233,3129459868148.4746,3652690116322.8286
2022-04-27,6.976678,18295909.315068617,3129367859492.97,3652110727384.0737
2022-04-28,6.920067,18295806.671233002,3129275850837.466,3651531338445.319
2022-04-29,6.965399,18295704.027397387,3129183842181.9614,3650951949506.564
2022-04-30,6.96842,18295601.38356177,3129091833526.457,3650372560567.809
2022-05-01,6.96842,18295498.739726156,3128999824870.9526,3649793171629.054
2022-05-02,6.958122,18295396.09589054,3128907816215.448,3649213782690.2993
2022-05-03,6.951421,18295293.452054925,3128815807559.944,3648634393751.5444
2022-05-04,6.95438,18295190.80821931,3128723798904.4395,3648055004812.7896
2022-05-05,7.022618,18295088.164383695,3128631790248.935,3647475615874.0347
2022-05-06,7.012246,18294985.52054808,3128539781593.4307,3646896226935.28
2022-05-07,7.031879,18294882.876712464,3128447772937.9263,3646316837996.525
2022-05-08,7.031879,18294780.23287685,3128355764282.422,3645737449057.77
2022-05-09,7.017774,18294677.589041233,3128263755626.9175,3645158060119.015
2022-05-10,7.105768,18294574.945205618,3128171746971.413,3644578671180.2603
2022-05-11,7.093265,18294472.301370002,3128079738315.9087,3643999282241.5054
2022-05-12,7.066692,18294369.657534387,3127987729660.4043,3643419893302.7505
2022-05-13,7.04436,18294267.01369877,3127895721004.9,3642840504363.9956
2022-05-14,7.067865,18294164.369863156,3127803712349.3955,3642261115425.2407
2022-05-15,7.067865,18294061.72602754,3127711703693.891,3641681726486.486
2022-05-16,7.060734,18293959.082191925,3127619695038.3867,3641102337547.731
2022-05-17,7.089781,18293856.43835631,3127527686382.8823,3640522948608.976
2022-05-18,7.110205,18293753.794520695,3127435677727.378,3639943559670.221
2022-05-19,7.072695,18293651.15068508,3127343669071.8735,3639364170731.4663
2022-05-20,7.100807,18293548.506849464,3127251660416.369,3638784781792.7114
2022-05-21,7.069488,18293445.86301385,3127159651760.8647,3638205392853.9565
2022-05-22,7.069488,18293343.219178233,3127067643105.3604,3637626003915.2017
2022-05-23,7.074718,18293240.575342618,3126975634449.856,3637046614976.447
2022-05-24,7.104187,18293137.931507003,3126883625794.3516,3636467226037.692
2022-05-25,7.134794,18293035.287671387,3126791617138.847,3635887837098.937
2022-05-26,7.15957,18292932.64383577,3126699608483.343,3635308448160.182
2022-05-27,7.234193,18292830.000000156,3126607599827.8384,3634729059221.4272
2022-05-28,7.191163,18292727.35616454,3126515591172.334,3634149670282.6724
2022-05-29,7.191163,18292624.712328926,3126423582516.8296,3633570281343.9175
2022-05-30,7.186794,18292522.06849331,3126331573861.325,3632990892405.1626
2022-05-31,7.175111,18292419.424657695,3126239565205.821,3632411503466.4077
2022-06-01,7.162006,18292316.78082208,3126147556550.3164,3631832114527.653
2022-06-02,7.122783,18292214.136986464,3126055547894.812,3631252725588.898
2022-06-03,7.158993,18292111.49315085,3125963539239.3076,3630673336650.143
2022-06-04,7.139734,18292008.849315234,3125871530583.803,3630093947711.388
2022-06-05,7.139734,18291906.20547962,3125779521928.299,3629514558772.6333
2022-06-06,7.143556,18291803.561644003,3125687513272.7944,3628935169833.8784
2022-06-07,7.11054,18291700.917808387,3125595504617.29,3628355780895.1235
2022-06-08,7.135587,18291598.273972772,3125503495961.7856,3627776391956.3687
2022-06-09,7.160136,18291495.630137157,3125411487306.2812,3627197003017.614
2022-06-10,7.109113,18291392.98630154,3125319478650.777,3626617614078.859
2022-06-11,7.056322,18291290.342465926,3125227469995.2725,3626038225140.104
2022-06-12,7.056322,18291187.69863031,3125135461339.768,3625458836201.349
2022-06-13,7.035581,18291085.054794695,3125043452684.2637,3624879447262.594
2022-06-14,7.038239,18290982.41095908,3124951444028.7593,3624300058323.8394
2022-06-15,7.033246,18290879.767123464,3124859435373.255,3623720669385.0845
2022-06-16,7.019711,18290777.12328785,3124767426717.7505,3623141280446.3296
2022-06-17,7.066949,18290674.479452234,3124675418062.246,3622561891507.5747
2022-06-18,7.049407,18290571.83561662,3124583409406.7417,3621982502568.82
2022-06-19,7.049407,18290469.191781003,3124491400751.2373,3621403113630.065
2022-06-20,7.046249,18290366.547945388,3124399392095.733,3620823724691.31
2022-06-21,7.040737,18290263.904109772,3124307383440.2285,3620244335752.555
2022-06-22,7.045431,18290161.260274157,3124215374784.724,3619664946813.8003
2022-06-23,7.083148,18290058.61643854,3124123366129.2197,3619085557875.0454
2022-06-24,7.045617,18289955.972602926,3124031357473.7153,3618506168936.2905
2022-06-25,7.06234,18289853.32876731,3123939348818.211,3617926779997.5356
2022-06-26,7.06234,18289750.684931695,3123847340162.7065,3617347391058.781
2022-06-27,7.072826,18289648.04109608,3123755331507.202,3616768002120.026
2022-06-28,7.082991,18289545.397260465,3123663322851.6978,3616188613181.271
2022-06-29,7.061966,18289442.75342485,3123571314196.1934,3615609224242.516
2022-06-30,6.996046,18289340.109589234,3123479305540.689,3615029835303.761
2022-07-01,7.017961,18289237.46575362,3123387296885.1846,3614450446365.0063
2022-07-02,6.988228,18289134.821918003,3123295288229.68,3613871057426.2515
2022-07-03,6.988228,18289032.178082388,3123203279574.176,3613291668487.4966
2022-07-04,6.998513,18288929.534246773,3123111270918.6714,3612712279548.7417
2022-07-05,6.988714,18288826.890411157,3123019262263.167,3612132890609.987
